character,card,pick winrate,pick rate, pick elo, win contribution,pick winrate upgraded,pick rate upgraded, pick elo upgraded, win contribution upgraded
IRONCLAD,FASTEN,0.0,0.0,0,-0.02,0.0,0.0,0,0.0
IRONCLAD,HOWL_FROM_BEYOND,0.33,0.27,89,0.01,0.0,0.0,1,0.0
IRONCLAD,STAMPEDE,0.5,0.33,110,-0.01,0.0,0.0,1,0.03
IRONCLAD,EVIL_EYE,0.33,0.33,88,0.02,0.0,0.0,1,0.0
IRONCLAD,OFFERING,1.0,0.5,135,0.11,0.0,0.0,1,0.0
IRONCLAD,DARK_SHACKLES,0.0,0.0,0,0.01,0.0,0.0,0,0.0
IRONCLAD,SETUP_STRIKE,0.0,0.08,28,-0.02,0.0,0.0,1,0.0
IRONCLAD,MIND_BLAST,0.0,0.0,0,-0.01,0.0,0.0,0,0.0
IRONCLAD,ONE_TWO_PUNCH,1.0,0.5,32,0.01,0.0,0.0,1,0.0
IRONCLAD,BASH,0.0,0.0,0,-0.06,0.0,0.0,0,0.05
IRONCLAD,NEOWS_FURY,0.0,0.0,0,0.0,0.0,0.0,0,0.0
IRONCLAD,INFINITE_BLADES,0.0,0.0,0,0.02,0.0,0.0,0,0.0
IRONCLAD,BREAKTHROUGH,0.5,0.11,115,0.03,0.0,0.0,1,0.0
IRONCLAD,DEMON_FORM,0.0,0.0,1,-0.02,0.0,0.0,1,0.0
IRONCLAD,PACTS_END,1.0,0.14,32,0.04,0.0,0.0,1,0.0
IRONCLAD,SECOND_WIND,0.0,0.2,62,0.01,0.0,0.0,1,0.0
IRONCLAD,ULTIMATE_DEFEND,0.0,0.0,0,0.0,0.0,0.0,0,0.04
IRONCLAD,BEAT_DOWN,0.0,0.0,0,0.0,0.0,0.0,0,0.01
IRONCLAD,SPITE,0.0,0.17,32,-0.01,0.5,0.33,60,0.01
IRONCLAD,THINKING_AHEAD,1.0,0.5,32,0.03,0.0,0.0,1,0.0
IRONCLAD,INJURY,0.0,0.0,0,0.0,0.0,0.0,0,0.0
IRONCLAD,RUPTURE,0.0,0.14,32,-0.01,0.0,0.0,1,0.0
IRONCLAD,PYRE,0.0,0.33,48,-0.02,0.0,0.0,1,0.0
IRONCLAD,ANGER,0.0,0.07,59,-0.01,0.0,0.0,1,-0.01
IRONCLAD,STOKE,0.0,0.0,1,-0.01,0.0,0.0,1,0.0
IRONCLAD,TWIN_STRIKE,0.0,0.03,32,-0.01,0.0,0.5,30,0.0
IRONCLAD,LEADING_STRIKE,0.0,0.0,0,0.02,0.0,0.0,0,0.0
IRONCLAD,ASHEN_STRIKE,0.75,0.33,116,0.06,0.0,0.0,1,-0.02
IRONCLAD,MANGLE,0.5,0.22,62,-0.01,0.0,0.0,1,0.02
IRONCLAD,BLOOD_WALL,0.0,0.05,32,0.0,0.0,0.29,60,0.01
IRONCLAD,MOLTEN_FIST,0.86,0.16,184,0.12,0.75,0.5,97,0.05
IRONCLAD,BARRICADE,0.0,0.33,60,0.0,0.0,0.0,1,-0.01
IRONCLAD,MAD_SCIENCE,0.0,0.0,0,0.02,0.0,0.0,0,0.0
IRONCLAD,FINESSE,0.0,0.5,28,-0.02,0.0,0.0,1,0.03
IRONCLAD,DEFEND_IRONCLAD,0.0,0.0,0,-0.27,0.0,0.0,0,0.17
IRONCLAD,BREAK,0.0,0.0,0,0.0,0.0,0.0,0,0.02
IRONCLAD,DISMANTLE,1.0,0.1,32,0.02,1.0,0.25,32,0.02
IRONCLAD,HEMOKINESIS,0.33,0.2,90,-0.01,0.0,0.0,1,0.01
IRONCLAD,FAN_OF_KNIVES,0.0,0.0,0,0.02,0.0,0.0,0,0.0
IRONCLAD,HEADBUTT,0.43,0.15,166,0.01,0.0,0.0,1,0.01
IRONCLAD,CORRUPTION,0.0,0.0,0,0.0,0.0,0.0,0,0.0
IRONCLAD,STRIKE_IRONCLAD,0.0,0.0,0,-0.28,0.0,0.0,0,0.07
IRONCLAD,CRIMSON_MANTLE,1.0,0.33,62,0.0,0.0,0.0,1,0.04
IRONCLAD,DOMINATE,0.4,0.38,135,0.04,1.0,0.5,53,0.06
IRONCLAD,FISTICUFFS,0.0,0.5,32,0.0,0.0,0.0,1,0.0
IRONCLAD,PIERCING_WAIL,0.0,0.0,0,0.02,0.0,0.0,0,0.0
IRONCLAD,PILLAGE,0.5,0.15,62,0.02,0.0,0.0,1,0.0
IRONCLAD,ARMAMENTS,0.17,0.15,159,-0.02,0.67,0.38,79,0.03
IRONCLAD,CLUMSY,0.0,0.0,0,0.03,0.0,0.0,0,0.0
IRONCLAD,IMPERVIOUS,1.0,0.5,32,0.02,0.0,0.0,1,0.0
IRONCLAD,HAVOC,1.0,0.13,91,0.01,0.5,0.25,58,0.04
IRONCLAD,PROWESS,0.0,0.0,0,0.0,0.0,0.0,0,0.01
IRONCLAD,JUGGLING,0.0,0.0,1,0.04,0.0,0.0,1,0.0
IRONCLAD,EXPECT_A_FIGHT,0.0,0.0,1,0.0,1.0,0.5,32,0.01
IRONCLAD,TREMBLE,0.5,0.3,203,0.07,0.5,0.4,99,0.04
IRONCLAD,BODY_SLAM,0.0,0.03,32,-0.01,1.0,0.33,31,0.02
IRONCLAD,WHIRLWIND,1.0,0.07,32,0.01,0.0,0.0,1,0.0
IRONCLAD,THRASH,0.67,0.43,89,0.03,0.0,0.0,1,0.0
IRONCLAD,FLAME_BARRIER,0.5,0.4,116,0.02,0.0,0.0,1,0.01
IRONCLAD,AUTOMATION,0.0,0.0,0,0.0,0.0,0.0,0,0.02
IRONCLAD,UPPERCUT,0.4,0.38,107,-0.03,1.0,0.5,29,0.05
IRONCLAD,CRUELTY,0.0,0.0,1,-0.01,0.0,0.0,1,0.0
IRONCLAD,IRON_WAVE,0.0,0.04,32,-0.01,0.0,0.0,1,0.0
IRONCLAD,MALAISE,0.0,0.0,0,0.0,0.0,0.0,0,0.02
IRONCLAD,RAGE,0.2,0.36,127,-0.01,1.0,0.5,29,0.0
IRONCLAD,ASCENDERS_BANE,0.0,0.0,0,0.0,0.0,0.0,0,0.0
IRONCLAD,EXTERMINATE,0.0,0.0,0,0.0,0.0,0.0,0,0.0
IRONCLAD,TAUNT,0.5,0.46,128,0.03,0.0,0.5,27,0.02
IRONCLAD,HIDDEN_GEM,0.0,0.0,0,0.0,0.0,0.0,0,0.04
IRONCLAD,ULTIMATE_STRIKE,0.0,0.0,0,-0.02,0.0,0.0,0,0.0
IRONCLAD,BLUDGEON,0.33,0.29,149,0.0,0.0,0.0,1,0.0
IRONCLAD,ROLLING_BOULDER,0.0,0.0,1,0.0,0.0,0.0,1,0.02
IRONCLAD,OMNISLICE,0.0,0.33,32,0.0,0.0,0.0,1,0.0
IRONCLAD,DRUM_OF_BATTLE,0.0,0.0,1,0.0,0.0,0.33,32,0.01
IRONCLAD,CINDER,0.5,0.15,164,0.01,0.0,0.0,1,0.02
SILENT,BLUR,0.5,0.31,109,0.01,0.0,0.0,1,0.01
SILENT,LEG_SWEEP,0.5,0.31,109,0.03,0.0,0.0,1,0.0
SILENT,DECAY,0.0,0.0,0,0.01,0.0,0.0,0,0.0
SILENT,HAZE,0.0,0.43,79,-0.01,1.0,0.43,77,0.05
SILENT,NEUTRALIZE,0.0,0.0,0,-0.04,0.0,0.0,0,0.03
SILENT,ESCAPE_PLAN,0.45,0.48,211,0.05,0.0,0.0,1,0.03
SILENT,DEFILE,0.0,0.5,32,0.0,0.0,0.0,1,0.0
SILENT,ENVENOM,1.0,0.33,32,-0.01,0.0,0.0,1,0.02
SILENT,FLECHETTES,0.0,0.17,25,0.01,0.0,0.0,1,0.0
SILENT,BURST,0.0,0.0,1,0.0,1.0,0.5,32,0.01
SILENT,ADRENALINE,0.0,0.0,1,0.0,1.0,0.5,32,0.02
SILENT,BLADE_DANCE,0.33,0.35,148,0.03,1.0,0.25,20,0.02
SILENT,SERPENT_FORM,1.0,0.17,32,0.02,0.0,0.0,1,0.0
SILENT,PREPARED,0.5,0.4,154,0.0,0.83,0.5,112,0.18
SILENT,ANTICIPATE,0.0,0.05,32,0.0,0.0,0.0,1,0.0
SILENT,OUTBREAK,1.0,0.1,32,0.0,1.0,0.5,32,0.05
SILENT,RELAX,0.0,0.0,0,-0.01,0.0,0.0,0,0.03
SILENT,GREED,0.0,0.0,0,-0.01,0.0,0.0,0,0.0
SILENT,ABRASIVE,0.5,0.4,61,0.0,0.0,0.0,1,0.02
SILENT,LEADING_STRIKE,0.0,0.05,32,0.0,1.0,0.25,32,0.02
SILENT,SPOILS_MAP,0.0,0.0,0,-0.01,0.0,0.0,0,0.0
SILENT,PINPOINT,1.0,0.25,61,0.0,0.0,0.0,1,0.03
SILENT,ACCURACY,0.67,0.27,88,0.01,0.0,0.0,1,0.01
SILENT,GRAND_FINALE,0.0,0.0,1,0.01,0.0,0.0,1,0.0
SILENT,SECRET_WEAPON,0.0,0.0,0,0.0,0.0,0.0,0,0.01
SILENT,MAD_SCIENCE,0.0,0.0,0,0.01,0.0,0.0,0,0.0
SILENT,METAMORPHOSIS,0.0,0.0,0,-0.01,0.0,0.0,0,0.0
SILENT,FINESSE,0.0,0.0,1,0.0,1.0,0.5,32,0.02
SILENT,TACTICIAN,1.0,0.14,32,0.02,0.0,0.33,32,0.0
SILENT,CALCULATED_GAMBLE,0.0,0.0,1,0.0,1.0,0.5,63,0.03
SILENT,FLASH_OF_STEEL,0.0,0.5,32,-0.01,0.0,0.0,1,0.0
SILENT,SURVIVOR,0.0,0.0,0,-0.03,0.0,0.0,0,0.02
SILENT,HIDDEN_DAGGERS,0.0,0.33,56,-0.01,1.0,0.5,28,0.01
SILENT,HAND_TRICK,0.0,0.25,87,-0.01,0.5,0.33,55,0.01
SILENT,DEFLECT,0.0,0.11,59,-0.01,1.0,0.2,1,0.01
SILENT,MIRAGE,0.0,0.25,61,-0.01,1.0,0.5,28,0.03
SILENT,CORROSIVE_WAVE,0.0,0.33,32,0.0,0.0,0.0,1,0.0
SILENT,FAN_OF_KNIVES,1.0,0.14,25,0.02,0.0,0.0,1,0.02
SILENT,DAGGER_SPRAY,0.4,0.17,133,0.0,0.0,0.0,1,0.01
SILENT,PECK,0.0,0.0,0,0.0,0.0,0.0,0,0.0
SILENT,DODGE_AND_ROLL,1.0,0.05,32,0.0,1.0,0.33,60,0.06
SILENT,DRAIN_POWER,0.0,0.5,32,-0.01,0.0,0.0,1,0.0
SILENT,DEFEND_SILENT,0.0,0.0,0,-0.19,0.0,0.0,0,0.14
SILENT,ACROBATICS,0.0,0.38,74,-0.01,0.67,0.43,81,0.02
SILENT,EXPOSE,0.2,0.42,125,-0.02,0.0,0.0,1,0.01
SILENT,PRODUCTION,1.0,0.33,32,0.02,0.0,0.0,1,0.0
SILENT,DISCOVERY,0.0,0.0,1,0.0,1.0,0.5,32,0.03
SILENT,PIERCING_WAIL,0.33,0.17,87,0.0,0.8,0.5,131,0.06
SILENT,FOOTWORK,0.45,0.46,198,-0.03,0.0,0.0,1,0.1
SILENT,PREDATOR,1.0,0.2,32,0.0,1.0,0.5,32,0.03
SILENT,UP_MY_SLEEVE,0.67,0.33,88,0.0,0.0,0.0,1,0.04
SILENT,BOUNCING_FLASK,0.25,0.27,84,-0.02,1.0,0.2,26,0.07
SILENT,PANACHE,1.0,0.5,32,0.0,0.0,0.0,1,0.01
SILENT,STRIKE_SILENT,0.0,0.0,0,-0.29,0.0,0.0,0,0.09
SILENT,REFLEX,1.0,0.08,32,0.02,0.0,0.0,1,0.0
SILENT,AFTERIMAGE,1.0,0.5,59,0.04,0.0,0.0,1,0.0
SILENT,CLUMSY,0.0,0.0,0,-0.01,0.0,0.0,0,0.0
SILENT,TOOLS_OF_THE_TRADE,1.0,0.5,32,0.02,0.0,0.0,1,0.0
SILENT,POUNCE,0.67,0.2,81,0.01,0.0,0.5,27,0.03
SILENT,CATASTROPHE,0.0,0.25,25,-0.01,0.0,0.0,1,0.02
SILENT,FLICK_FLACK,0.0,0.21,101,-0.05,0.0,0.0,1,0.0
SILENT,FOLLOW_THROUGH,0.0,0.04,32,-0.01,0.0,0.0,1,0.0
SILENT,DAGGER_THROW,0.0,0.14,86,-0.01,0.0,0.0,1,0.0
SILENT,DRAMATIC_ENTRANCE,1.0,0.5,32,0.0,0.0,0.0,1,0.02
SILENT,EXPERTISE,0.0,0.0,1,0.0,1.0,0.33,32,0.02
SILENT,FOLLY,0.0,0.0,0,0.02,0.0,0.0,0,0.0
SILENT,DEADLY_POISON,0.22,0.32,189,-0.03,0.0,0.0,1,0.03
SILENT,NIGHTMARE,0.67,0.5,80,0.01,0.0,0.0,1,0.02
SILENT,BACKSTAB,0.0,0.25,61,-0.01,0.0,0.5,32,0.0
SILENT,SHADOWMELD,0.0,0.25,32,-0.01,1.0,0.5,30,0.02
SILENT,POISONED_STAB,0.5,0.1,59,0.01,0.0,0.0,1,0.0
SILENT,CHARGE,0.0,0.5,1,-0.01,0.0,0.0,1,0.0
SILENT,RICOCHET,0.0,0.12,84,-0.01,0.0,0.33,27,0.0
SILENT,DOUBT,0.0,0.0,0,0.02,0.0,0.0,0,0.0
SILENT,KNIFE_TRAP,0.0,0.33,31,-0.01,0.0,0.0,1,0.0
SILENT,UNTOUCHABLE,0.75,0.25,80,0.04,1.0,0.33,49,0.04
SILENT,STORM_OF_STEEL,0.0,0.0,0,0.0,0.0,0.0,0,0.0
SILENT,MALAISE,0.0,0.2,32,0.0,1.0,0.5,32,0.03
SILENT,GUILTY,0.0,0.0,0,0.0,0.0,0.0,0,0.0
SILENT,GRAVE_WARDEN,0.0,0.5,1,0.0,0.0,0.0,1,0.0
SILENT,ASCENDERS_BANE,0.0,0.0,0,-0.01,0.0,0.0,0,0.0
SILENT,SNAKEBITE,0.25,0.2,109,0.0,0.5,0.33,51,0.02
SILENT,EXTERMINATE,0.0,0.0,0,0.0,0.0,0.0,0,0.02
SILENT,THE_HUNT,1.0,0.25,32,0.0,0.0,0.0,1,0.01
SILENT,FINISHER,0.0,0.0,1,0.0,1.0,0.5,63,0.03
SILENT,BUBBLE_BUBBLE,0.25,0.4,77,-0.01,0.0,0.0,1,0.0
SILENT,PHANTOM_BLADES,0.0,0.2,32,-0.01,0.0,0.0,1,0.0
SILENT,MURDER,0.0,0.2,32,0.0,0.0,0.0,1,0.0
SILENT,WELL_LAID_PLANS,0.0,0.17,25,-0.01,1.0,0.33,31,0.02
SILENT,NOXIOUS_FUMES,0.67,0.33,85,0.01,0.0,0.0,1,0.03
SILENT,CLOAK_AND_DAGGER,0.0,0.0,1,0.0,1.0,0.11,32,0.02
SILENT,BACKFLIP,0.22,0.32,156,-0.01,1.0,0.33,43,0.03
SILENT,BULLET_TIME,0.0,0.0,1,0.0,0.0,0.33,32,0.0
SILENT,SPEEDSTER,1.0,0.13,25,0.02,0.0,0.0,1,0.0
REGENT,DEFEND_REGENT,0.0,0.0,0,-0.16,0.0,0.0,0,0.0
REGENT,ASTRAL_PULSE,0.0,0.15,139,-0.02,0.5,0.29,54,0.0
REGENT,TYRANNY,0.0,0.4,61,0.01,0.0,0.0,1,0.0
REGENT,PHOTON_CUT,0.0,0.0,1,0.0,0.5,0.4,63,0.01
REGENT,PARTICLE_WALL,1.0,0.07,32,0.02,0.0,0.0,1,0.0
REGENT,BULWARK,0.5,0.33,62,0.01,0.33,0.5,81,0.01
REGENT,THE_SCYTHE,1.0,0.5,1,0.0,0.0,0.0,1,0.02
REGENT,ORBIT,0.5,0.27,119,0.0,0.0,0.0,1,0.03
REGENT,KNOW_THY_PLACE,0.29,0.4,357,-0.01,0.0,0.0,1,0.02
REGENT,GREED,0.0,0.0,0,0.02,0.0,0.0,0,0.0
REGENT,GATHER_LIGHT,0.38,0.36,272,0.02,0.0,0.5,24,0.01
REGENT,SPOILS_MAP,0.0,0.0,0,-0.02,0.0,0.0,0,0.0
REGENT,GO_FOR_THE_EYES,0.0,0.5,1,-0.01,0.0,0.0,1,0.0
REGENT,CLOAK_OF_STARS,0.67,0.25,190,0.08,0.0,0.0,1,0.0
REGENT,GLIMMER,0.5,0.33,208,0.0,0.0,0.0,1,0.05
REGENT,KINGLY_KICK,0.0,0.0,1,0.0,0.0,0.25,32,0.0
REGENT,GAMMA_BLAST,0.5,0.18,62,0.02,1.0,0.17,32,0.02
REGENT,PROPHESIZE,0.0,0.0,1,0.03,0.0,0.0,1,0.0
REGENT,THE_SEALED_THRONE,0.0,0.0,0,0.0,0.0,0.0,0,0.02
REGENT,DANSE_MACABRE,1.0,0.5,32,0.02,0.0,0.0,1,0.0
REGENT,GUIDING_STAR,1.0,0.05,32,0.03,0.33,0.43,92,0.02
REGENT,BEGONE,0.33,0.21,148,0.01,0.0,0.14,24,-0.01
REGENT,RESTLESSNESS,0.0,0.5,32,-0.01,0.0,0.0,1,0.02
REGENT,GLOW,0.25,0.14,106,-0.01,1.0,0.5,21,0.02
REGENT,BUNDLE_OF_JOY,0.0,0.33,61,-0.01,0.0,0.0,1,0.0
REGENT,REFINE_BLADE,0.33,0.18,164,0.02,0.0,0.33,27,-0.01
REGENT,SUMMON_FORTH,0.5,0.25,62,0.02,0.0,0.5,32,-0.01
REGENT,PRODUCTION,0.0,0.0,0,0.02,0.0,0.0,0,0.0
REGENT,ARSENAL,1.0,0.11,32,0.02,0.0,0.0,1,-0.01
REGENT,DECISIONS_DECISIONS,1.0,0.5,62,0.02,0.0,0.0,1,0.02
REGENT,QUASAR,0.5,0.22,57,-0.01,1.0,0.5,58,0.06
REGENT,FURNACE,0.0,0.08,32,-0.01,0.0,0.33,32,0.02
REGENT,CELESTIAL_MIGHT,0.0,0.04,32,-0.01,0.0,0.0,1,0.0
REGENT,CONQUEROR,0.0,0.11,32,0.01,1.0,0.5,32,0.02
REGENT,CRUSH_UNDER,0.0,0.08,62,-0.01,0.0,0.5,30,-0.01
REGENT,COMET,0.5,0.4,61,-0.01,0.0,0.0,1,0.02
REGENT,METEOR_SHOWER,0.0,0.0,0,0.0,0.0,0.0,0,0.0
REGENT,GLITTERSTREAM,0.33,0.16,164,0.02,0.33,0.43,81,0.01
REGENT,CHARGE,0.57,0.37,182,0.05,0.0,0.0,1,0.0
REGENT,COLLISION_COURSE,0.33,0.1,80,0.01,0.5,0.5,52,0.01
REGENT,COSMIC_INDIFFERENCE,1.0,0.05,32,0.02,1.0,0.5,56,0.04
REGENT,KNOCKOUT_BLOW,0.0,0.24,118,-0.01,0.0,0.0,1,-0.02
REGENT,IMPATIENCE,0.0,0.0,1,-0.01,0.0,0.0,1,0.0
REGENT,PALE_BLUE_DOT,0.67,0.17,81,-0.01,1.0,0.5,32,0.03
REGENT,RADIATE,0.0,0.17,32,0.01,0.0,0.0,1,0.0
REGENT,CHILD_OF_THE_STARS,1.0,0.25,62,0.02,0.0,0.0,1,0.03
REGENT,FASTEN,0.0,0.0,0,0.0,0.0,0.0,0,-0.02
REGENT,WROUGHT_IN_WAR,0.33,0.11,90,0.0,0.0,0.0,1,0.01
REGENT,HIDDEN_CACHE,0.25,0.28,211,0.03,0.67,0.43,71,0.03
REGENT,RESONANCE,0.0,0.08,32,-0.01,0.0,0.5,30,-0.01
REGENT,HEIRLOOM_HAMMER,0.0,0.2,32,-0.01,0.0,0.0,1,0.0
REGENT,BOMBARDMENT,1.0,0.5,62,0.03,0.0,0.0,1,0.0
REGENT,GUARDS,0.33,0.3,87,0.02,0.0,0.5,27,-0.01
REGENT,ULTIMATE_DEFEND,1.0,0.5,32,0.0,0.0,0.0,1,0.02
REGENT,REFLECT,0.4,0.48,226,0.01,1.0,0.5,17,0.04
REGENT,SUPERMASSIVE,0.0,0.09,31,-0.01,0.0,0.0,1,0.0
REGENT,STRIKE_REGENT,0.0,0.0,0,-0.27,0.0,0.0,0,-0.01
REGENT,VENERATE,0.0,0.0,0,0.0,0.0,0.0,0,-0.04
REGENT,MAYHEM,0.0,0.5,32,0.0,0.0,0.0,1,0.0
REGENT,VOID_FORM,1.0,0.5,90,0.06,0.0,0.0,1,0.0
REGENT,SEEKING_EDGE,1.0,0.5,32,0.02,0.0,0.0,1,0.0
REGENT,I_AM_INVINCIBLE,0.67,0.43,89,0.02,0.0,0.0,1,0.01
REGENT,SOLAR_STRIKE,0.0,0.0,1,0.0,0.0,0.4,63,-0.01
REGENT,DEVASTATE,0.0,0.25,90,-0.01,0.0,0.0,1,-0.01
REGENT,MAD_SCIENCE,0.0,0.0,0,0.02,0.0,0.0,0,0.0
REGENT,METAMORPHOSIS,0.0,0.0,0,-0.01,0.0,0.0,0,0.0
REGENT,FINESSE,0.0,0.0,0,0.02,0.0,0.0,0,0.0
REGENT,FALLING_STAR,0.0,0.0,0,-0.05,0.0,0.0,0,0.02
REGENT,NEUTRON_AEGIS,0.0,0.5,62,-0.01,0.0,0.0,1,-0.01
REGENT,STARDUST,0.0,0.22,51,-0.01,0.0,0.0,1,0.0
REGENT,FISTICUFFS,0.0,0.0,1,-0.01,0.0,0.0,1,0.0
REGENT,BLACK_HOLE,0.17,0.43,167,0.0,1.0,0.5,49,0.05
REGENT,SPOILS_OF_BATTLE,0.5,0.11,79,0.01,0.5,0.4,53,0.03
REGENT,CLUMSY,0.0,0.0,0,0.02,0.0,0.0,0,0.0
REGENT,LUNAR_BLAST,0.0,0.29,60,-0.01,1.0,0.5,27,0.02
REGENT,THE_SMITH,1.0,0.2,32,0.0,0.0,0.0,1,0.02
REGENT,MANIFEST_AUTHORITY,0.0,0.13,62,-0.01,0.0,0.0,1,0.0
REGENT,ALIGNMENT,0.0,0.0,1,-0.01,0.0,0.0,1,0.0
REGENT,CATASTROPHE,0.0,0.0,0,0.0,0.0,0.0,0,0.02
REGENT,DYING_STAR,0.0,0.25,32,-0.01,1.0,0.5,32,0.02
REGENT,PARRY,0.75,0.24,118,0.04,0.0,0.0,1,0.04
REGENT,BEAT_INTO_SHAPE,0.0,0.0,1,0.0,0.0,0.5,61,-0.01
REGENT,SEVEN_STARS,0.0,0.25,32,0.0,0.0,0.0,1,-0.01
REGENT,HEGEMONY,0.0,0.11,32,-0.01,0.0,0.0,1,0.0
REGENT,MONOLOGUE,0.0,0.11,32,-0.01,0.0,0.0,1,0.0
REGENT,ROYAL_GAMBLE,0.67,0.3,83,0.03,0.0,0.0,1,0.0
REGENT,SWORD_SAGE,0.0,0.25,62,-0.01,0.0,0.0,1,-0.01
REGENT,CONVERGENCE,0.0,0.37,196,-0.03,0.0,0.0,1,-0.01
REGENT,FEEDING_FRENZY,0.0,0.0,0,-0.01,0.0,0.0,0,0.0
REGENT,BYRD_SWOOP,0.0,0.0,0,-0.01,0.0,0.0,0,0.0
REGENT,IRON_WAVE,0.0,0.5,32,0.0,0.0,0.0,1,-0.01
REGENT,PATTER,0.17,0.19,127,-0.04,0.0,0.0,1,0.0
REGENT,ASCENDERS_BANE,0.0,0.0,0,-0.04,0.0,0.0,0,0.0
REGENT,PURITY,0.0,0.0,1,-0.01,0.0,0.0,1,0.0
REGENT,HIDDEN_GEM,0.0,0.0,0,-0.01,0.0,0.0,0,0.0
REGENT,OMNISLICE,1.0,0.5,32,0.0,0.0,0.0,1,0.04
REGENT,CRESCENT_SPEAR,0.0,0.0,1,0.0,1.0,0.33,63,0.03
REGENT,EQUILIBRIUM,0.0,0.5,32,-0.01,0.0,0.0,1,-0.01
REGENT,BIG_BANG,0.5,0.5,61,0.01,0.0,0.0,1,0.0
NECROBINDER,DECAY,0.0,0.0,0,0.02,0.0,0.0,0,0.0
NECROBINDER,RATTLE,0.33,0.2,74,0.02,0.0,0.0,1,-0.02
NECROBINDER,THE_SCYTHE,0.0,0.33,32,-0.02,0.0,0.0,1,0.0
NECROBINDER,DEATHBRINGER,0.0,0.0,1,-0.01,1.0,0.5,32,0.02
NECROBINDER,ULTIMATE_DEFEND,0.0,0.0,0,0.01,0.0,0.0,0,0.0
NECROBINDER,BEAT_DOWN,0.0,0.0,0,0.02,0.0,0.0,0,0.0
NECROBINDER,INVOKE,0.5,0.07,61,-0.01,1.0,0.29,63,0.06
NECROBINDER,DEFILE,0.25,0.17,115,0.0,0.0,0.0,1,-0.01
NECROBINDER,NEUROSURGE,0.75,0.5,115,0.05,0.0,0.0,1,0.0
NECROBINDER,INJURY,0.0,0.0,0,-0.01,0.0,0.0,0,0.0
NECROBINDER,HAUNT,0.0,0.0,1,0.0,0.0,0.5,32,-0.01
NECROBINDER,GREED,0.0,0.0,0,0.02,0.0,0.0,0,0.0
NECROBINDER,DEFEND_NECROBINDER,0.0,0.0,0,-0.24,0.0,0.0,0,0.08
NECROBINDER,HANG,1.0,0.5,32,0.0,1.0,0.33,31,0.04
NECROBINDER,SEANCE,1.0,0.29,60,-0.01,0.0,0.0,1,0.04
NECROBINDER,RIGHT_HAND_HAND,1.0,0.08,32,0.0,1.0,0.5,32,0.02
NECROBINDER,FLATTEN,0.0,0.19,107,-0.04,0.0,0.0,1,0.0
