character,monster,type,act name, act,avg damage, avg fight duration
IRONCLAD,ENCOUNTER.THE_KIN_BOSS,boss,ACT.OVERGROWTH,1,55.0,11.0
IRONCLAD,ENCOUNTER.ENTOMANCER_ELITE,elite,ACT.HIVE,2,18.89,4.22
IRONCLAD,ENCOUNTER.OVERGROWTH_CRAWLERS,monster,ACT.OVERGROWTH,1,14.0,4.0
IRONCLAD,ENCOUNTER.FROG_KNIGHT_NORMAL,monster,ACT.GLORY,3,1.0,4.0
IRONCLAD,ENCOUNTER.INFESTED_PRISMS_ELITE,elite,ACT.HIVE,2,22.82,4.64
IRONCLAD,ENCOUNTER.TWO_TAILED_RATS_NORMAL,monster,ACT.UNDERDOCKS,1,0.0,2.0
IRONCLAD,ENCOUNTER.BOWLBUGS_NORMAL,monster,ACT.HIVE,2,13.5,4.5
SILENT,ENCOUNTER.FUZZY_WURM_CRAWLER_WEAK,monster,ACT.OVERGROWTH,1,1.75,5.5
SILENT,ENCOUNTER.THIEVING_HOPPER_WEAK,monster,ACT.HIVE,2,5.0,4.33
SILENT,ENCOUNTER.FLYCONID_NORMAL,monster,ACT.OVERGROWTH,1,25.67,5.0
SILENT,ENCOUNTER.SEWER_CLAM_NORMAL,monster,ACT.UNDERDOCKS,1,11.0,4.0
SILENT,ENCOUNTER.SCROLLS_OF_BITING_NORMAL,monster,ACT.GLORY,3,0.0,3.0
SILENT,ENCOUNTER.KNIGHTS_ELITE,elite,ACT.GLORY,3,11.2,4.4
SILENT,ENCOUNTER.TOADPOLES_WEAK,monster,ACT.UNDERDOCKS,1,3.88,5.13
SILENT,ENCOUNTER.NIBBITS_WEAK,monster,ACT.OVERGROWTH,1,2.4,4.0
SILENT,ENCOUNTER.PHROG_PARASITE_ELITE,elite,ACT.OVERGROWTH,1,24.86,8.43
SILENT,ENCOUNTER.SHRINKER_BEETLE_WEAK,monster,ACT.OVERGROWTH,1,2.38,4.25
SILENT,ENCOUNTER.AXEBOTS_NORMAL,monster,ACT.GLORY,3,0.0,6.0
SILENT,ENCOUNTER.SLUDGE_SPINNER_WEAK,monster,ACT.UNDERDOCKS,1,4.29,4.43
SILENT,ENCOUNTER.MYTES_NORMAL,monster,ACT.HIVE,2,10.67,5.0
SILENT,ENCOUNTER.QUEEN_BOSS,boss,ACT.GLORY,3,8.0,10.25
SILENT,ENCOUNTER.LAGAVULIN_MATRIARCH_BOSS,boss,ACT.UNDERDOCKS,1,10.0,12.5
SILENT,ENCOUNTER.TERROR_EEL_ELITE,elite,ACT.UNDERDOCKS,1,12.0,5.4
SILENT,ENCOUNTER.SCROLLS_OF_BITING_WEAK,monster,ACT.GLORY,3,1.4,2.8
SILENT,ENCOUNTER.VINE_SHAMBLER_NORMAL,monster,ACT.OVERGROWTH,1,1.0,3.0
SILENT,ENCOUNTER.HUNTER_KILLER_NORMAL,monster,ACT.HIVE,2,15.0,4.0
SILENT,ENCOUNTER.AEONGLASS_BOSS,boss,ACT.GLORY,3,25.0,6.67
SILENT,ENCOUNTER.BYGONE_EFFIGY_ELITE,elite,ACT.OVERGROWTH,1,16.5,5.17
SILENT,ENCOUNTER.MAWLER_NORMAL,monster,ACT.OVERGROWTH,1,10.75,6.0
SILENT,ENCOUNTER.WATERFALL_GIANT_BOSS,boss,ACT.UNDERDOCKS,1,3.0,8.0
SILENT,ENCOUNTER.SEAPUNK_WEAK,monster,ACT.UNDERDOCKS,1,2.11,4.33
SILENT,ENCOUNTER.VANTOM_BOSS,boss,ACT.OVERGROWTH,1,18.5,8.5
SILENT,ENCOUNTER.SLIMES_NORMAL,monster,ACT.OVERGROWTH,1,9.0,4.0
SILENT,ENCOUNTER.OWL_MAGISTRATE_NORMAL,monster,ACT.GLORY,3,3.0,5.0
SILENT,ENCOUNTER.KAISER_CRAB_BOSS,boss,ACT.HIVE,2,27.0,10.0
SILENT,ENCOUNTER.TUNNELER_WEAK,monster,ACT.HIVE,2,3.6,6.8
SILENT,ENCOUNTER.BYRDONIS_ELITE,elite,ACT.OVERGROWTH,1,11.33,5.0
SILENT,ENCOUNTER.DEVOTED_SCULPTOR_WEAK,monster,ACT.GLORY,3,6.0,4.75
SILENT,ENCOUNTER.KNOWLEDGE_DEMON_BOSS,boss,ACT.HIVE,2,28.0,9.67
SILENT,ENCOUNTER.PHANTASMAL_GARDENERS_ELITE,elite,ACT.UNDERDOCKS,1,9.1,5.2
SILENT,ENCOUNTER.SNAPPING_JAXFRUIT_NORMAL,monster,ACT.OVERGROWTH,1,16.0,6.0
SILENT,ENCOUNTER.DECIMILLIPEDE_ELITE,elite,ACT.HIVE,2,6.17,4.33
SILENT,ENCOUNTER.TURRET_OPERATOR_WEAK,monster,ACT.GLORY,3,8.6,3.2
SILENT,ENCOUNTER.SEAPUNK_NORMAL,monster,ACT.UNDERDOCKS,1,19.0,7.0
SILENT,ENCOUNTER.OVICOPTER_NORMAL,monster,ACT.HIVE,2,22.0,7.0
SILENT,ENCOUNTER.SLITHERING_STRANGLER_NORMAL,monster,ACT.OVERGROWTH,1,20.0,7.0
SILENT,ENCOUNTER.TEST_SUBJECT_BOSS,boss,ACT.GLORY,3,11.0,12.8
SILENT,ENCOUNTER.DOORMAKER_BOSS,boss,ACT.GLORY,3,61.0,12.0
SILENT,ENCOUNTER.BOWLBUGS_WEAK,monster,ACT.HIVE,2,4.17,4.17
SILENT,ENCOUNTER.EXOSKELETONS_WEAK,monster,ACT.HIVE,2,3.5,4.5
SILENT,ENCOUNTER.SOUL_FYSH_BOSS,boss,ACT.UNDERDOCKS,1,15.67,9.0
SILENT,ENCOUNTER.CUBEX_CONSTRUCT_NORMAL,monster,ACT.OVERGROWTH,1,0.0,4.0
SILENT,ENCOUNTER.CORPSE_SLUGS_WEAK,monster,ACT.UNDERDOCKS,1,5.13,4.25
SILENT,ENCOUNTER.THE_INSATIABLE_BOSS,boss,ACT.HIVE,2,31.0,11.0
SILENT,ENCOUNTER.LIVING_FOG_NORMAL,monster,ACT.UNDERDOCKS,1,14.0,9.0
SILENT,ENCOUNTER.THE_OBSCURA_NORMAL,monster,ACT.HIVE,2,5.0,7.0
SILENT,ENCOUNTER.SLIMES_WEAK,monster,ACT.OVERGROWTH,1,1.78,5.11
SILENT,ENCOUNTER.CONSTRUCT_MENAGERIE_NORMAL,monster,ACT.GLORY,3,7.5,4.0
SILENT,ENCOUNTER.CULTISTS_NORMAL,monster,ACT.UNDERDOCKS,1,12.33,5.67
SILENT,ENCOUNTER.EXOSKELETONS_NORMAL,monster,ACT.HIVE,2,1.0,3.0
SILENT,ENCOUNTER.HAUNTED_SHIP_NORMAL,monster,ACT.UNDERDOCKS,1,16.0,6.0
SILENT,ENCOUNTER.PUNCH_CONSTRUCT_NORMAL,monster,ACT.UNDERDOCKS,1,4.67,3.67
SILENT,ENCOUNTER.SLIMED_BERSERKER_NORMAL,monster,ACT.GLORY,3,0.0,6.0
SILENT,ENCOUNTER.MECHA_KNIGHT_ELITE,elite,ACT.GLORY,3,16.0,6.67
SILENT,ENCOUNTER.NIBBITS_NORMAL,monster,ACT.OVERGROWTH,1,6.0,4.5
SILENT,ENCOUNTER.RUBY_RAIDERS_NORMAL,monster,ACT.OVERGROWTH,1,14.0,6.0
SILENT,ENCOUNTER.SKULKING_COLONY_ELITE,elite,ACT.UNDERDOCKS,1,18.11,6.44
SILENT,ENCOUNTER.SLUMBERING_BEETLE_NORMAL,monster,ACT.HIVE,2,18.0,5.0
SILENT,ENCOUNTER.SOUL_NEXUS_ELITE,elite,ACT.GLORY,3,9.83,6.67
SILENT,ENCOUNTER.CORPSE_SLUGS_NORMAL,monster,ACT.UNDERDOCKS,1,5.5,4.5
SILENT,ENCOUNTER.FABRICATOR_NORMAL,monster,ACT.GLORY,3,4.0,6.0
SILENT,ENCOUNTER.THE_KIN_BOSS,boss,ACT.OVERGROWTH,1,21.0,7.0
SILENT,ENCOUNTER.ENTOMANCER_ELITE,elite,ACT.HIVE,2,7.0,6.14
SILENT,ENCOUNTER.FROG_KNIGHT_NORMAL,monster,ACT.GLORY,3,5.0,9.5
SILENT,ENCOUNTER.GLOBE_HEAD_NORMAL,monster,ACT.GLORY,3,16.0,6.0
SILENT,ENCOUNTER.TWO_TAILED_RATS_NORMAL,monster,ACT.UNDERDOCKS,1,2.0,6.0
SILENT,ENCOUNTER.INFESTED_PRISMS_ELITE,elite,ACT.HIVE,2,9.43,6.71
SILENT,ENCOUNTER.BOWLBUGS_NORMAL,monster,ACT.HIVE,2,0.0,2.0
REGENT,ENCOUNTER.FUZZY_WURM_CRAWLER_WEAK,monster,ACT.OVERGROWTH,1,4.33,4.33
REGENT,ENCOUNTER.THIEVING_HOPPER_WEAK,monster,ACT.HIVE,2,7.5,4.25
REGENT,ENCOUNTER.GREMLIN_MERC_NORMAL,monster,ACT.UNDERDOCKS,1,8.0,4.0
REGENT,ENCOUNTER.FLYCONID_NORMAL,monster,ACT.OVERGROWTH,1,10.33,5.67
REGENT,ENCOUNTER.SEWER_CLAM_NORMAL,monster,ACT.UNDERDOCKS,1,0.0,4.5
REGENT,ENCOUNTER.SCROLLS_OF_BITING_NORMAL,monster,ACT.GLORY,3,0.0,3.5
REGENT,ENCOUNTER.CHOMPERS_NORMAL,monster,ACT.HIVE,2,5.0,5.5
REGENT,ENCOUNTER.KNIGHTS_ELITE,elite,ACT.GLORY,3,5.83,4.17
REGENT,ENCOUNTER.TOADPOLES_WEAK,monster,ACT.UNDERDOCKS,1,4.83,3.67
REGENT,ENCOUNTER.NIBBITS_WEAK,monster,ACT.OVERGROWTH,1,7.14,3.86
REGENT,ENCOUNTER.PHROG_PARASITE_ELITE,elite,ACT.OVERGROWTH,1,16.2,7.0
REGENT,ENCOUNTER.SHRINKER_BEETLE_WEAK,monster,ACT.OVERGROWTH,1,2.63,3.88
REGENT,ENCOUNTER.AXEBOTS_NORMAL,monster,ACT.GLORY,3,0.0,9.5
REGENT,ENCOUNTER.SLUDGE_SPINNER_WEAK,monster,ACT.UNDERDOCKS,1,3.5,3.8
REGENT,ENCOUNTER.MYTES_NORMAL,monster,ACT.HIVE,2,13.5,5.67
REGENT,ENCOUNTER.LAGAVULIN_MATRIARCH_BOSS,boss,ACT.UNDERDOCKS,1,8.75,6.0
REGENT,ENCOUNTER.QUEEN_BOSS,boss,ACT.GLORY,3,30.0,10.67
REGENT,ENCOUNTER.FOGMOG_NORMAL,monster,ACT.OVERGROWTH,1,11.0,6.0
REGENT,ENCOUNTER.INKLETS_NORMAL,monster,ACT.OVERGROWTH,1,22.0,4.0
REGENT,ENCOUNTER.TERROR_EEL_ELITE,elite,ACT.UNDERDOCKS,1,12.15,6.23
REGENT,ENCOUNTER.SCROLLS_OF_BITING_WEAK,monster,ACT.GLORY,3,0.0,2.5
REGENT,ENCOUNTER.VINE_SHAMBLER_NORMAL,monster,ACT.OVERGROWTH,1,0.0,3.0
REGENT,ENCOUNTER.BYGONE_EFFIGY_ELITE,elite,ACT.OVERGROWTH,1,21.5,5.88
REGENT,ENCOUNTER.MAWLER_NORMAL,monster,ACT.OVERGROWTH,1,8.0,5.0
REGENT,ENCOUNTER.WATERFALL_GIANT_BOSS,boss,ACT.UNDERDOCKS,1,24.2,11.2
REGENT,ENCOUNTER.SEAPUNK_WEAK,monster,ACT.UNDERDOCKS,1,3.38,3.69
REGENT,ENCOUNTER.VANTOM_BOSS,boss,ACT.OVERGROWTH,1,25.5,9.0
REGENT,ENCOUNTER.CEREMONIAL_BEAST_BOSS,boss,ACT.OVERGROWTH,1,35.5,9.0
REGENT,ENCOUNTER.LOUSE_PROGENITOR_NORMAL,monster,ACT.HIVE,2,4.0,6.0
REGENT,ENCOUNTER.OWL_MAGISTRATE_NORMAL,monster,ACT.GLORY,3,7.0,7.5
REGENT,ENCOUNTER.SLIMES_NORMAL,monster,ACT.OVERGROWTH,1,15.0,6.0
REGENT,ENCOUNTER.KAISER_CRAB_BOSS,boss,ACT.HIVE,2,39.67,9.67
REGENT,ENCOUNTER.TUNNELER_WEAK,monster,ACT.HIVE,2,7.13,5.13
REGENT,ENCOUNTER.BYRDONIS_ELITE,elite,ACT.OVERGROWTH,1,13.67,4.0
REGENT,ENCOUNTER.DEVOTED_SCULPTOR_WEAK,monster,ACT.GLORY,3,3.0,3.33
REGENT,ENCOUNTER.KNOWLEDGE_DEMON_BOSS,boss,ACT.HIVE,2,28.25,7.5
REGENT,ENCOUNTER.PHANTASMAL_GARDENERS_ELITE,elite,ACT.UNDERDOCKS,1,8.6,6.2
REGENT,ENCOUNTER.SNAPPING_JAXFRUIT_NORMAL,monster,ACT.OVERGROWTH,1,3.0,3.0
REGENT,ENCOUNTER.DECIMILLIPEDE_ELITE,elite,ACT.HIVE,2,17.1,4.4
REGENT,ENCOUNTER.FOSSIL_STALKER_NORMAL,monster,ACT.UNDERDOCKS,1,6.33,4.33
REGENT,ENCOUNTER.TURRET_OPERATOR_WEAK,monster,ACT.GLORY,3,3.5,4.0
REGENT,ENCOUNTER.THE_LOST_AND_FORGOTTEN_NORMAL,monster,ACT.GLORY,3,28.0,5.0
REGENT,ENCOUNTER.SEAPUNK_NORMAL,monster,ACT.UNDERDOCKS,1,11.67,5.0
REGENT,ENCOUNTER.OVICOPTER_NORMAL,monster,ACT.HIVE,2,5.8,4.2
REGENT,ENCOUNTER.TEST_SUBJECT_BOSS,boss,ACT.GLORY,3,29.0,10.57
REGENT,ENCOUNTER.DOORMAKER_BOSS,boss,ACT.GLORY,3,12.0,8.75
REGENT,ENCOUNTER.EXOSKELETONS_WEAK,monster,ACT.HIVE,2,3.6,4.8
REGENT,ENCOUNTER.BOWLBUGS_WEAK,monster,ACT.HIVE,2,1.0,4.25
REGENT,ENCOUNTER.SOUL_FYSH_BOSS,boss,ACT.UNDERDOCKS,1,19.0,9.0
REGENT,ENCOUNTER.SPINY_TOAD_NORMAL,monster,ACT.HIVE,2,6.25,5.0
REGENT,ENCOUNTER.CUBEX_CONSTRUCT_NORMAL,monster,ACT.OVERGROWTH,1,3.5,3.0
REGENT,ENCOUNTER.CORPSE_SLUGS_WEAK,monster,ACT.UNDERDOCKS,1,1.82,3.45
REGENT,ENCOUNTER.THE_INSATIABLE_BOSS,boss,ACT.HIVE,2,16.0,10.67
REGENT,ENCOUNTER.LIVING_FOG_NORMAL,monster,ACT.UNDERDOCKS,1,4.0,4.0
REGENT,ENCOUNTER.THE_OBSCURA_NORMAL,monster,ACT.HIVE,2,19.0,6.0
REGENT,ENCOUNTER.SLIMES_WEAK,monster,ACT.OVERGROWTH,1,4.13,4.88
REGENT,ENCOUNTER.CULTISTS_NORMAL,monster,ACT.UNDERDOCKS,1,2.8,3.6
REGENT,ENCOUNTER.CONSTRUCT_MENAGERIE_NORMAL,monster,ACT.GLORY,3,5.5,4.75
REGENT,ENCOUNTER.HAUNTED_SHIP_NORMAL,monster,ACT.UNDERDOCKS,1,2.0,3.17
REGENT,ENCOUNTER.SLIMED_BERSERKER_NORMAL,monster,ACT.GLORY,3,5.0,5.67
REGENT,ENCOUNTER.PUNCH_CONSTRUCT_NORMAL,monster,ACT.UNDERDOCKS,1,7.33,4.0
REGENT,ENCOUNTER.MECHA_KNIGHT_ELITE,elite,ACT.GLORY,3,11.67,6.83
REGENT,ENCOUNTER.NIBBITS_NORMAL,monster,ACT.OVERGROWTH,1,13.0,4.0
REGENT,ENCOUNTER.RUBY_RAIDERS_NORMAL,monster,ACT.OVERGROWTH,1,8.0,3.0
REGENT,ENCOUNTER.SKULKING_COLONY_ELITE,elite,ACT.UNDERDOCKS,1,12.92,6.23
REGENT,ENCOUNTER.SLUMBERING_BEETLE_NORMAL,monster,ACT.HIVE,2,0.0,7.0
REGENT,ENCOUNTER.SOUL_NEXUS_ELITE,elite,ACT.GLORY,3,8.0,5.86
REGENT,ENCOUNTER.CORPSE_SLUGS_NORMAL,monster,ACT.UNDERDOCKS,1,0.0,3.0
REGENT,ENCOUNTER.FABRICATOR_NORMAL,monster,ACT.GLORY,3,0.0,3.33
REGENT,ENCOUNTER.THE_KIN_BOSS,boss,ACT.OVERGROWTH,1,20.0,8.5
REGENT,ENCOUNTER.ENTOMANCER_ELITE,elite,ACT.HIVE,2,15.27,5.45
REGENT,ENCOUNTER.FROG_KNIGHT_NORMAL,monster,ACT.GLORY,3,6.0,4.0
REGENT,ENCOUNTER.OVERGROWTH_CRAWLERS,monster,ACT.OVERGROWTH,1,6.0,6.0
REGENT,ENCOUNTER.GLOBE_HEAD_NORMAL,monster,ACT.GLORY,3,10.0,3.5
REGENT,ENCOUNTER.INFESTED_PRISMS_ELITE,elite,ACT.HIVE,2,14.43,5.57
REGENT,ENCOUNTER.TWO_TAILED_RATS_NORMAL,monster,ACT.UNDERDOCKS,1,0.0,2.0
NECROBINDER,ENCOUNTER.FUZZY_WURM_CRAWLER_WEAK,monster,ACT.OVERGROWTH,1,1.67,4.67
NECROBINDER,ENCOUNTER.THIEVING_HOPPER_WEAK,monster,ACT.HIVE,2,1.86,3.86
NECROBINDER,ENCOUNTER.GREMLIN_MERC_NORMAL,monster,ACT.UNDERDOCKS,1,4.33,4.67
NECROBINDER,ENCOUNTER.FLYCONID_NORMAL,monster,ACT.OVERGROWTH,1,10.0,5.0
NECROBINDER,ENCOUNTER.SEWER_CLAM_NORMAL,monster,ACT.UNDERDOCKS,1,0.5,5.0
NECROBINDER,ENCOUNTER.SCROLLS_OF_BITING_NORMAL,monster,ACT.GLORY,3,0.0,3.0
NECROBINDER,ENCOUNTER.KNIGHTS_ELITE,elite,ACT.GLORY,3,4.17,5.17
NECROBINDER,ENCOUNTER.CHOMPERS_NORMAL,monster,ACT.HIVE,2,10.33,6.0
NECROBINDER,ENCOUNTER.TOADPOLES_WEAK,monster,ACT.UNDERDOCKS,1,2.8,4.3
NECROBINDER,ENCOUNTER.NIBBITS_WEAK,monster,ACT.OVERGROWTH,1,3.44,4.33
NECROBINDER,ENCOUNTER.PHROG_PARASITE_ELITE,elite,ACT.OVERGROWTH,1,7.29,6.57
NECROBINDER,ENCOUNTER.AXEBOTS_NORMAL,monster,ACT.GLORY,3,3.0,7.0
NECROBINDER,ENCOUNTER.SHRINKER_BEETLE_WEAK,monster,ACT.OVERGROWTH,1,0.0,3.67
NECROBINDER,ENCOUNTER.SLUDGE_SPINNER_WEAK,monster,ACT.UNDERDOCKS,1,1.0,3.75
NECROBINDER,ENCOUNTER.MYTES_NORMAL,monster,ACT.HIVE,2,8.67,6.0
NECROBINDER,ENCOUNTER.QUEEN_BOSS,boss,ACT.GLORY,3,1.0,9.67
NECROBINDER,ENCOUNTER.LAGAVULIN_MATRIARCH_BOSS,boss,ACT.UNDERDOCKS,1,17.5,10.0
NECROBINDER,ENCOUNTER.INKLETS_NORMAL,monster,ACT.OVERGROWTH,1,2.5,3.0
NECROBINDER,ENCOUNTER.TERROR_EEL_ELITE,elite,ACT.UNDERDOCKS,1,18.13,7.13
NECROBINDER,ENCOUNTER.SCROLLS_OF_BITING_WEAK,monster,ACT.GLORY,3,3.5,3.83
NECROBINDER,ENCOUNTER.VINE_SHAMBLER_NORMAL,monster,ACT.OVERGROWTH,1,4.0,5.0
NECROBINDER,ENCOUNTER.HUNTER_KILLER_NORMAL,monster,ACT.HIVE,2,15.33,4.67
NECROBINDER,ENCOUNTER.AEONGLASS_BOSS,boss,ACT.GLORY,3,26.0,10.0
NECROBINDER,ENCOUNTER.BYGONE_EFFIGY_ELITE,elite,ACT.OVERGROWTH,1,8.8,4.8
NECROBINDER,ENCOUNTER.MAWLER_NORMAL,monster,ACT.OVERGROWTH,1,5.33,3.67
NECROBINDER,ENCOUNTER.WATERFALL_GIANT_BOSS,boss,ACT.UNDERDOCKS,1,10.33,10.67
NECROBINDER,ENCOUNTER.SEAPUNK_WEAK,monster,ACT.UNDERDOCKS,1,3.33,4.11
NECROBINDER,ENCOUNTER.VANTOM_BOSS,boss,ACT.OVERGROWTH,1,19.33,7.0
NECROBINDER,ENCOUNTER.LOUSE_PROGENITOR_NORMAL,monster,ACT.HIVE,2,7.0,5.67
NECROBINDER,ENCOUNTER.CEREMONIAL_BEAST_BOSS,boss,ACT.OVERGROWTH,1,17.0,9.67
NECROBINDER,ENCOUNTER.OWL_MAGISTRATE_NORMAL,monster,ACT.GLORY,3,4.5,4.5
NECROBINDER,ENCOUNTER.SLIMES_NORMAL,monster,ACT.OVERGROWTH,1,22.0,8.0
