character, ancient,ancient_bonus,winrate,pickrate
SILENT,TEZCATARA,VERY_HOT_COCOA,1.0,0.5
SILENT,NEOW,PHIAL_HOLSTER,0.0,0.33
SILENT,NEOW,KALEIDOSCOPE,0.0,0.5
SILENT,TEZCATARA,TOY_BOX,0.0,0.0
SILENT,NEOW,NUTRITIOUS_OYSTER,0.0,0.0
SILENT,PAEL,PAELS_BLOOD,0.0,0.0
SILENT,NEOW,POMANDER,0.0,0.0
SILENT,VAKUU,LORDS_PARASOL,1.0,0.25
SILENT,NEOW,SMALL_CAPSULE,0.0,0.0
SILENT,NONUPEIPE,FUR_COAT,0.0,0.0
SILENT,NEOW,PRECISE_SCISSORS,0.0,0.33
SILENT,NEOW,NEOWS_TALISMAN,0.0,0.0
SILENT,NEOW,HEFTY_TABLET,0.0,0.0
SILENT,NEOW,GOLDEN_PEARL,0.0,0.25
SILENT,PAEL,PAELS_GROWTH,0.0,0.0
SILENT,TEZCATARA,BIIIG_HUG,0.0,0.5
SILENT,NEOW,LEAD_PAPERWEIGHT,0.0,0.0
SILENT,PAEL,PAELS_HORN,0.5,0.4
SILENT,NEOW,BOOMING_CONCH,0.75,0.4
SILENT,VAKUU,PRESERVED_FOG,1.0,0.33
SILENT,PAEL,PAELS_TOOTH,1.0,0.33
SILENT,VAKUU,WHISPERING_EARRING,0.0,0.5
SILENT,NEOW,LAVA_ROCK,0.0,0.43
SILENT,NEOW,LARGE_CAPSULE,0.0,0.0
SILENT,NEOW,LEAFY_POULTICE,0.0,0.0
SILENT,TANX,THROWING_AXE,1.0,0.5
SILENT,NEOW,NEOWS_TORMENT,0.0,0.0
SILENT,PAEL,PAELS_EYE,0.0,0.0
SILENT,NEOW,PRECARIOUS_SHEARS,0.25,0.4
REGENT,VAKUU,BLOOD_SOAKED_ROSE,0.0,0.0
REGENT,TEZCATARA,YUMMY_COOKIE,0.0,0.0
REGENT,PAEL,PAELS_FLESH,0.0,0.0
REGENT,VAKUU,SERE_TALON,0.0,0.0
REGENT,NONUPEIPE,LOOMING_FRUIT,0.0,0.0
REGENT,DARV,DUSTY_TOME,1.0,0.5
REGENT,NEOW,LOST_COFFER,0.0,0.0
REGENT,NEOW,SILVER_CRUCIBLE,0.0,0.0
REGENT,NEOW,WINGED_BOOTS,0.0,0.0
REGENT,DARV,SNECKO_EYE,0.0,0.0
REGENT,NONUPEIPE,JEWELRY_BOX,0.0,0.0
REGENT,VAKUU,JEWELED_MASK,1.0,0.5
REGENT,NONUPEIPE,DIAMOND_DIADEM,0.0,0.5
REGENT,TEZCATARA,TOASTY_MITTENS,1.0,0.5
REGENT,NONUPEIPE,GLITTER,0.0,0.5
REGENT,OROBAS,ALCHEMICAL_COFFER,1.0,0.5
REGENT,TANX,CROSSBOW,1.0,0.5
REGENT,NONUPEIPE,SIGNET_RING,0.0,0.0
REGENT,OROBAS,GLASS_EYE,0.0,0.0
REGENT,NEOW,SILKEN_TRESS,0.0,0.5
REGENT,NONUPEIPE,BRILLIANT_SCARF,1.0,0.33
REGENT,NEOW,CURSED_PEARL,0.0,0.5
REGENT,NEOW,NEOWS_BONES,1.0,0.38
REGENT,OROBAS,ELECTRIC_SHRYMP,0.0,0.5
REGENT,NEOW,STONE_HUMIDIFIER,0.0,0.0
REGENT,NEOW,SCROLL_BOXES,0.0,0.0
REGENT,NEOW,ARCANE_SCROLL,0.0,0.0
REGENT,TANX,CLAWS,0.0,0.0
REGENT,NEOW,PHIAL_HOLSTER,0.0,0.29
REGENT,PAEL,PAELS_CLAW,0.5,0.5
REGENT,TANX,WAR_HAMMER,0.0,0.0
REGENT,NEOW,KALEIDOSCOPE,0.0,0.33
REGENT,NONUPEIPE,DELICATE_FROND,0.0,0.0
REGENT,NEOW,NUTRITIOUS_OYSTER,0.0,0.0
REGENT,TANX,IRON_CLUB,1.0,0.5
REGENT,TEZCATARA,TOY_BOX,0.0,0.0
REGENT,NEOW,NEW_LEAF,1.0,0.33
REGENT,PAEL,PAELS_BLOOD,0.67,0.5
REGENT,NEOW,SMALL_CAPSULE,0.0,0.33
REGENT,TANX,TANXS_WHISTLE,0.0,0.0
REGENT,NEOW,NEOWS_TALISMAN,0.0,0.0
REGENT,NEOW,PRECISE_SCISSORS,0.0,0.0
REGENT,NEOW,HEFTY_TABLET,0.0,0.0
REGENT,NEOW,GOLDEN_PEARL,0.0,0.25
REGENT,PAEL,PAELS_GROWTH,0.0,0.0
REGENT,PAEL,PAELS_TEARS,0.0,0.4
REGENT,NEOW,LEAD_PAPERWEIGHT,0.0,0.45
REGENT,PAEL,PAELS_WING,0.0,0.0
REGENT,OROBAS,DRIFTWOOD,0.0,0.0
REGENT,PAEL,PAELS_HORN,0.0,0.0
REGENT,NEOW,BOOMING_CONCH,0.0,0.0
REGENT,NONUPEIPE,BEAUTIFUL_BRACELET,0.0,0.0
REGENT,OROBAS,ARCHAIC_TOOTH,0.0,0.25
REGENT,PAEL,PAELS_TOOTH,0.0,0.0
REGENT,DARV,ASTROLABE,0.0,0.0
REGENT,NEOW,LARGE_CAPSULE,0.0,0.29
REGENT,NEOW,LEAFY_POULTICE,0.0,0.38
REGENT,NEOW,NEOWS_TORMENT,0.0,0.0
REGENT,PAEL,PAELS_EYE,0.0,0.0
REGENT,NEOW,PRECARIOUS_SHEARS,0.0,0.0
NECROBINDER,TEZCATARA,NUTRITIOUS_SOUP,0.0,0.0
NECROBINDER,TEZCATARA,YUMMY_COOKIE,0.33,0.5
NECROBINDER,PAEL,PAELS_FLESH,0.0,0.0
NECROBINDER,VAKUU,SERE_TALON,0.0,0.0
NECROBINDER,NEOW,LOST_COFFER,0.0,0.0
NECROBINDER,DARV,DUSTY_TOME,0.5,0.5
NECROBINDER,NONUPEIPE,LOOMING_FRUIT,0.0,0.0
NECROBINDER,NEOW,SILVER_CRUCIBLE,0.0,0.4
NECROBINDER,NEOW,WINGED_BOOTS,0.0,0.0
NECROBINDER,DARV,SNECKO_EYE,0.0,0.0
NECROBINDER,TEZCATARA,STORYBOOK,0.0,0.0
NECROBINDER,TANX,SAI,1.0,0.5
NECROBINDER,NONUPEIPE,DIAMOND_DIADEM,0.0,0.0
NECROBINDER,NONUPEIPE,GLITTER,1.0,0.5
NECROBINDER,OROBAS,ALCHEMICAL_COFFER,0.0,0.0
NECROBINDER,OROBAS,GLASS_EYE,0.0,0.0
NECROBINDER,NEOW,SILKEN_TRESS,1.0,0.5
NECROBINDER,TEZCATARA,GOLDEN_COMPASS,0.0,0.33
NECROBINDER,NONUPEIPE,BRILLIANT_SCARF,0.0,0.0
NECROBINDER,NEOW,CURSED_PEARL,0.0,0.0
NECROBINDER,NEOW,NEOWS_BONES,0.4,0.45
NECROBINDER,OROBAS,ELECTRIC_SHRYMP,1.0,0.5
NECROBINDER,TEZCATARA,PUMPKIN_CANDLE,0.0,0.0
NECROBINDER,NEOW,SCROLL_BOXES,0.0,0.0
NECROBINDER,NEOW,ARCANE_SCROLL,0.0,0.33
NECROBINDER,TANX,MEAT_CLEAVER,0.0,0.0
NECROBINDER,PAEL,PAELS_LEGION,0.0,0.0
NECROBINDER,NEOW,PHIAL_HOLSTER,0.0,0.0
NECROBINDER,OROBAS,TOUCH_OF_OROBAS,1.0,0.5
NECROBINDER,PAEL,PAELS_CLAW,0.0,0.5
NECROBINDER,NEOW,NUTRITIOUS_OYSTER,0.5,0.4
NECROBINDER,TEZCATARA,TOY_BOX,0.0,0.0
NECROBINDER,NEOW,NEW_LEAF,0.0,0.25
NECROBINDER,PAEL,PAELS_BLOOD,0.0,0.0
NECROBINDER,NEOW,POMANDER,0.0,0.0
NECROBINDER,TANX,TANXS_WHISTLE,0.0,0.0
NECROBINDER,NEOW,SMALL_CAPSULE,0.0,0.4
NECROBINDER,NONUPEIPE,FUR_COAT,0.0,0.0
NECROBINDER,NEOW,NEOWS_TALISMAN,0.0,0.0
NECROBINDER,NEOW,PRECISE_SCISSORS,0.0,0.25
NECROBINDER,NEOW,HEFTY_TABLET,0.0,0.13
NECROBINDER,NEOW,GOLDEN_PEARL,0.0,0.0
NECROBINDER,OROBAS,SAND_CASTLE,0.0,0.0
NECROBINDER,TANX,SPIKED_GAUNTLETS,0.0,0.0
NECROBINDER,PAEL,PAELS_TEARS,0.0,0.0
NECROBINDER,TEZCATARA,BIIIG_HUG,0.0,0.33
NECROBINDER,NEOW,LEAD_PAPERWEIGHT,0.0,0.25
NECROBINDER,PAEL,PAELS_WING,0.0,0.4
NECROBINDER,TANX,TRI_BOOMERANG,1.0,0.33
NECROBINDER,OROBAS,DRIFTWOOD,1.0,0.33
NECROBINDER,PAEL,PAELS_HORN,0.0,0.0
NECROBINDER,NONUPEIPE,BEAUTIFUL_BRACELET,1.0,0.5
NECROBINDER,NEOW,BOOMING_CONCH,0.0,0.33
NECROBINDER,OROBAS,ARCHAIC_TOOTH,0.0,0.0
NECROBINDER,DARV,CALLING_BELL,0.0,0.0
NECROBINDER,TEZCATARA,SEAL_OF_GOLD,0.0,0.0
NECROBINDER,VAKUU,WHISPERING_EARRING,1.0,0.5
NECROBINDER,NEOW,LAVA_ROCK,0.0,0.0
NECROBINDER,NEOW,LEAFY_POULTICE,1.0,0.5
NECROBINDER,TANX,THROWING_AXE,1.0,0.33
NECROBINDER,DARV,PANDORAS_BOX,0.0,0.0
NECROBINDER,NEOW,NEOWS_TORMENT,0.0,0.0
NECROBINDER,PAEL,PAELS_EYE,0.0,0.33
NECROBINDER,VAKUU,CHOICES_PARADOX,0.0,0.0
NECROBINDER,NEOW,PRECARIOUS_SHEARS,0.33,0.5
DEFECT,DARV,BLACK_STAR,1.0,0.5
DEFECT,TEZCATARA,YUMMY_COOKIE,0.0,0.0
DEFECT,DARV,DUSTY_TOME,0.0,0.0
DEFECT,NONUPEIPE,LOOMING_FRUIT,0.0,0.0
DEFECT,NEOW,LOST_COFFER,0.0,0.0
DEFECT,NEOW,SILVER_CRUCIBLE,0.0,0.22
DEFECT,NEOW,WINGED_BOOTS,0.0,0.0
DEFECT,DARV,SNECKO_EYE,0.0,0.0
DEFECT,OROBAS,RADIANT_PEARL,0.0,0.4
DEFECT,NONUPEIPE,JEWELRY_BOX,0.0,0.0
DEFECT,TEZCATARA,STORYBOOK,0.0,0.0
DEFECT,TANX,SAI,1.0,0.5
DEFECT,OROBAS,REGENT,0.0,0.5
DEFECT,NEOW,FISHING_ROD,0.0,0.5
DEFECT,NONUPEIPE,GLITTER,0.5,0.4
DEFECT,VAKUU,FIDDLE,1.0,0.5
DEFECT,DARV,SOZU,0.0,0.5
DEFECT,TEZCATARA,GOLDEN_COMPASS,0.0,0.0
DEFECT,NONUPEIPE,BRILLIANT_SCARF,1.0,0.5
DEFECT,NEOW,NEOWS_BONES,0.0,0.0
DEFECT,OROBAS,ELECTRIC_SHRYMP,0.0,0.0
DEFECT,NEOW,STONE_HUMIDIFIER,0.0,0.25
DEFECT,TEZCATARA,PUMPKIN_CANDLE,0.0,0.0
DEFECT,NEOW,ARCANE_SCROLL,0.0,0.0
DEFECT,DARV,ECTOPLASM,0.0,0.5
DEFECT,TEZCATARA,VERY_HOT_COCOA,0.67,0.5
DEFECT,OROBAS,TOUCH_OF_OROBAS,0.0,0.0
DEFECT,NONUPEIPE,DELICATE_FROND,0.0,0.0
DEFECT,TEZCATARA,TOY_BOX,0.0,0.0
DEFECT,NEOW,NUTRITIOUS_OYSTER,0.0,0.0
DEFECT,NEOW,NEW_LEAF,0.2,0.45
DEFECT,PAEL,PAELS_BLOOD,0.0,0.0
DEFECT,NEOW,POMANDER,0.0,0.0
DEFECT,TANX,TANXS_WHISTLE,0.0,0.0
DEFECT,VAKUU,LORDS_PARASOL,0.0,0.0
DEFECT,NEOW,SMALL_CAPSULE,0.0,0.33
DEFECT,NEOW,PRECISE_SCISSORS,0.0,0.0
DEFECT,NEOW,NEOWS_TALISMAN,0.0,0.0
DEFECT,NEOW,HEFTY_TABLET,0.0,0.0
DEFECT,NEOW,GOLDEN_PEARL,0.0,0.33
DEFECT,OROBAS,SAND_CASTLE,0.0,0.0
DEFECT,TANX,SPIKED_GAUNTLETS,0.0,0.0
DEFECT,PAEL,PAELS_TEARS,0.0,0.0
DEFECT,TEZCATARA,BIIIG_HUG,0.0,0.5
DEFECT,NEOW,LEAD_PAPERWEIGHT,0.0,0.4
DEFECT,DARV,EMPTY_CAGE,1.0,0.5
DEFECT,PAEL,PAELS_WING,0.0,0.5
DEFECT,OROBAS,DRIFTWOOD,0.0,0.5
DEFECT,PAEL,PAELS_HORN,0.0,0.0
DEFECT,NEOW,BOOMING_CONCH,0.5,0.5
DEFECT,OROBAS,ARCHAIC_TOOTH,0.0,0.0
DEFECT,DARV,CALLING_BELL,0.0,0.0
DEFECT,VAKUU,PRESERVED_FOG,0.0,0.0
DEFECT,TEZCATARA,SEAL_OF_GOLD,0.0,0.0
DEFECT,NEOW,LARGE_CAPSULE,0.0,0.0
DEFECT,NEOW,LEAFY_POULTICE,0.5,0.5
DEFECT,DARV,PANDORAS_BOX,0.0,0.0
DEFECT,NEOW,NEOWS_TORMENT,0.0,0.14
DEFECT,PAEL,PAELS_EYE,0.0,0.0
DEFECT,NEOW,PRECARIOUS_SHEARS,0.0,0.0
