character, relic ,winrate
SILENT,PHIAL_HOLSTER,0.0
SILENT,PENDULUM,1.0
SILENT,DAUGHTER_OF_THE_WIND,0.0
SILENT,CAPTAINS_WHEEL,0.0
SILENT,THROWING_AXE,1.0
SILENT,ORRERY,0.0
SILENT,FAKE_VENERABLE_TEA_SET,1.0
SILENT,FAKE_ANCHOR,1.0
SILENT,JUZU_BRACELET,0.25
SILENT,BOWLER_HAT,1.0
SILENT,BOOMING_CONCH,0.75
SILENT,PAELS_HORN,0.5
SILENT,JOSS_PAPER,1.0
SILENT,GREMLIN_HORN,1.0
SILENT,TOXIC_EGG,0.67
SILENT,ANCHOR,0.5
SILENT,BOOK_OF_FIVE_RINGS,1.0
SILENT,NUNCHAKU,1.0
SILENT,LOST_WISP,0.5
SILENT,STRIKE_DUMMY,0.67
SILENT,ARCANE_SCROLL,0.33
SILENT,PEAR,0.0
SILENT,MUMMIFIED_HAND,1.0
SILENT,VERY_HOT_COCOA,1.0
SILENT,HISTORY_COURSE,1.0
SILENT,MEAL_TICKET,0.0
SILENT,FAKE_BLOOD_VIAL,1.0
SILENT,PRESERVED_FOG,1.0
SILENT,CURSED_PEARL,0.0
SILENT,PANTOGRAPH,0.0
SILENT,BEATING_REMNANT,0.0
SILENT,ODDLY_SMOOTH_STONE,1.0
REGENT,LASTING_CANDY,0.0
REGENT,LARGE_CAPSULE,0.0
REGENT,BLOOD_VIAL,0.25
REGENT,REGAL_PILLOW,0.5
REGENT,GAMBLING_CHIP,0.0
REGENT,ARCHAIC_TOOTH,0.0
REGENT,LANTERN,0.5
REGENT,MINIATURE_TENT,0.0
REGENT,AKABEKO,1.0
REGENT,KALEIDOSCOPE,0.0
REGENT,FORGOTTEN_SOUL,0.5
REGENT,BAG_OF_PREPARATION,0.4
REGENT,BRONZE_SCALES,0.0
REGENT,LUNAR_PASTRY,1.0
REGENT,FESTIVE_POPPER,0.0
REGENT,VENERABLE_TEA_SET,0.0
REGENT,PEN_NIB,0.0
REGENT,MINIATURE_CANNON,0.5
REGENT,RIPPLE_BASIN,0.0
REGENT,ART_OF_WAR,1.0
REGENT,KUSARIGAMA,0.67
REGENT,SWORD_OF_STONE,0.0
REGENT,PERMAFROST,1.0
REGENT,PRAYER_WHEEL,0.0
REGENT,PAELS_BLOOD,0.67
REGENT,FRESNEL_LENS,0.25
REGENT,IRON_CLUB,1.0
REGENT,VAJRA,0.2
REGENT,PETRIFIED_TOAD,0.25
REGENT,CLOAK_CLASP,0.0
REGENT,UNSETTLING_LAMP,1.0
REGENT,LAVA_ROCK,1.0
REGENT,SCROLL_BOXES,1.0
REGENT,FENCING_MANUAL,0.5
REGENT,CANDELABRA,1.0
REGENT,HORN_CLEAT,0.33
REGENT,STONE_CALENDAR,0.0
REGENT,DIAMOND_DIADEM,0.0
REGENT,SPARKLING_ROUGE,0.0
REGENT,GLITTER,0.0
REGENT,REGALITE,0.0
REGENT,WAR_PAINT,1.0
REGENT,GORGET,0.67
REGENT,CHOSEN_CHEESE,0.25
REGENT,RED_MASK,0.43
REGENT,BREAD,0.0
REGENT,REPTILE_TRINKET,0.5
REGENT,SWORD_OF_JADE,1.0
REGENT,CENTENNIAL_PUZZLE,0.17
REGENT,GAME_PIECE,1.0
REGENT,JEWELED_MASK,1.0
REGENT,GOLDEN_PEARL,0.0
REGENT,KUNAI,0.5
REGENT,BAG_OF_MARBLES,0.6
REGENT,ALCHEMICAL_COFFER,1.0
REGENT,STRAWBERRY,0.6
REGENT,WHETSTONE,0.67
REGENT,SHOVEL,0.0
REGENT,SILKEN_TRESS,0.0
REGENT,POTION_BELT,0.67
REGENT,TOASTY_MITTENS,1.0
REGENT,MOLTEN_EGG,0.0
REGENT,TUNING_FORK,0.2
REGENT,ORICHALCUM,0.0
REGENT,LEAD_PAPERWEIGHT,0.0
REGENT,MERCURY_HOURGLASS,1.0
REGENT,GALACTIC_DUST,0.67
REGENT,DUSTY_TOME,1.0
REGENT,PLANISPHERE,0.5
REGENT,MEMBERSHIP_CARD,1.0
REGENT,TINY_MAILBOX,1.0
REGENT,PAELS_CLAW,0.5
REGENT,BYRDPIP,0.0
REGENT,MEAT_ON_THE_BONE,0.5
REGENT,HAPPY_FLOWER,0.57
REGENT,PHIAL_HOLSTER,0.33
REGENT,NEW_LEAF,1.0
REGENT,PENDULUM,0.0
REGENT,CAPTAINS_WHEEL,0.5
REGENT,KIFUDA,1.0
REGENT,WHITE_BEAST_STATUE,1.0
REGENT,LIZARD_TAIL,0.0
REGENT,NEOWS_BONES,1.0
REGENT,ELECTRIC_SHRYMP,0.0
REGENT,STONE_CRACKER,0.0
REGENT,ETERNAL_FEATHER,0.5
REGENT,FAKE_ANCHOR,1.0
REGENT,BOWLER_HAT,0.0
REGENT,JOSS_PAPER,1.0
REGENT,GREMLIN_HORN,1.0
REGENT,SMALL_CAPSULE,0.0
REGENT,MINI_REGENT,1.0
REGENT,CROSSBOW,1.0
REGENT,LEAFY_POULTICE,0.0
REGENT,ANCHOR,0.5
REGENT,BOOK_OF_FIVE_RINGS,0.33
REGENT,NUNCHAKU,0.5
REGENT,TEA_OF_DISCOURTESY,1.0
REGENT,STRIKE_DUMMY,0.33
REGENT,MUMMIFIED_HAND,0.0
REGENT,NUTRITIOUS_OYSTER,1.0
REGENT,DIVINE_RIGHT,0.22
REGENT,FAKE_HAPPY_FLOWER,1.0
REGENT,HISTORY_COURSE,1.0
REGENT,MEAL_TICKET,0.0
REGENT,MANGO,0.0
REGENT,FAKE_BLOOD_VIAL,1.0
REGENT,PAELS_TEARS,0.0
REGENT,CURSED_PEARL,0.5
REGENT,RINGING_TRIANGLE,0.0
REGENT,PANTOGRAPH,1.0
REGENT,BRILLIANT_SCARF,1.0
REGENT,ODDLY_SMOOTH_STONE,0.33
NECROBINDER,DRIFTWOOD,1.0
NECROBINDER,BLOOD_VIAL,1.0
NECROBINDER,REGAL_PILLOW,0.6
NECROBINDER,IVORY_TILE,0.0
NECROBINDER,LANTERN,0.5
NECROBINDER,GNARLED_HAMMER,1.0
NECROBINDER,AKABEKO,1.0
NECROBINDER,BIIIG_HUG,0.0
NECROBINDER,FORGOTTEN_SOUL,1.0
NECROBINDER,POCKETWATCH,0.0
NECROBINDER,PHYLACTERY_UNBOUND,1.0
NECROBINDER,BAG_OF_PREPARATION,0.25
NECROBINDER,LETTER_OPENER,1.0
NECROBINDER,BRONZE_SCALES,0.0
NECROBINDER,FESTIVE_POPPER,1.0
NECROBINDER,POMANDER,0.0
NECROBINDER,VENERABLE_TEA_SET,0.0
NECROBINDER,VEXING_PUZZLEBOX,1.0
NECROBINDER,LUCKY_FYSH,0.0
NECROBINDER,MINIATURE_CANNON,1.0
NECROBINDER,PEN_NIB,0.5
NECROBINDER,RIPPLE_BASIN,1.0
NECROBINDER,LAVA_LAMP,0.0
NECROBINDER,KUSARIGAMA,1.0
NECROBINDER,TUNGSTEN_ROD,1.0
NECROBINDER,ART_OF_WAR,1.0
NECROBINDER,PERMAFROST,1.0
NECROBINDER,PRECISE_SCISSORS,0.0
NECROBINDER,BONE_FLUTE,1.0
NECROBINDER,FRESNEL_LENS,0.25
NECROBINDER,VAJRA,0.0
NECROBINDER,PETRIFIED_TOAD,0.33
NECROBINDER,BEAUTIFUL_BRACELET,1.0
NECROBINDER,PAELS_WING,0.0
NECROBINDER,CLOAK_CLASP,0.5
NECROBINDER,TOUCH_OF_OROBAS,1.0
NECROBINDER,PAELS_EYE,0.0
NECROBINDER,DRAGON_FRUIT,1.0
NECROBINDER,WHISPERING_EARRING,1.0
NECROBINDER,FRAGRANT_MUSHROOM,1.0
NECROBINDER,SPARKLING_ROUGE,1.0
NECROBINDER,LEES_WAFFLE,0.0
NECROBINDER,GLITTER,1.0
NECROBINDER,GORGET,0.75
NECROBINDER,WAR_PAINT,0.67
NECROBINDER,CHOSEN_CHEESE,0.25
NECROBINDER,RED_MASK,0.33
NECROBINDER,STURDY_CLAMP,0.0
NECROBINDER,REPTILE_TRINKET,0.5
NECROBINDER,YUMMY_COOKIE,0.33
NECROBINDER,CENTENNIAL_PUZZLE,0.5
NECROBINDER,KUNAI,1.0
NECROBINDER,DOLLYS_MIRROR,1.0
NECROBINDER,BAG_OF_MARBLES,0.0
NECROBINDER,BOOKMARK,0.5
NECROBINDER,STRAWBERRY,1.0
NECROBINDER,WHETSTONE,0.25
NECROBINDER,PRECARIOUS_SHEARS,0.2
NECROBINDER,SILKEN_TRESS,1.0
NECROBINDER,SHURIKEN,1.0
NECROBINDER,POTION_BELT,1.0
NECROBINDER,MOLTEN_EGG,0.67
NECROBINDER,GOLDEN_COMPASS,0.0
NECROBINDER,TUNING_FORK,0.25
NECROBINDER,LEAD_PAPERWEIGHT,0.0
NECROBINDER,ORICHALCUM,0.0
NECROBINDER,MERCURY_HOURGLASS,1.0
NECROBINDER,DREAM_CATCHER,0.5
NECROBINDER,INTIMIDATING_HELMET,0.0
NECROBINDER,DUSTY_TOME,0.5
NECROBINDER,VAMBRACE,0.67
NECROBINDER,PAELS_CLAW,0.0
NECROBINDER,GHOST_SEED,0.0
NECROBINDER,TOOLBOX,0.0
NECROBINDER,BYRDPIP,0.0
NECROBINDER,POLLINOUS_CORE,1.0
NECROBINDER,HAPPY_FLOWER,0.5
NECROBINDER,ORNAMENTAL_FAN,0.5
NECROBINDER,MYSTIC_LIGHTER,1.0
NECROBINDER,NEW_LEAF,0.0
NECROBINDER,DAUGHTER_OF_THE_WIND,0.0
NECROBINDER,CAPTAINS_WHEEL,1.0
NECROBINDER,ICE_CREAM,1.0
NECROBINDER,THROWING_AXE,1.0
NECROBINDER,NEOWS_BONES,0.4
NECROBINDER,HEFTY_TABLET,0.0
NECROBINDER,ELECTRIC_SHRYMP,1.0
NECROBINDER,STONE_CRACKER,0.0
NECROBINDER,ETERNAL_FEATHER,0.67
NECROBINDER,FAKE_ANCHOR,1.0
NECROBINDER,JUZU_BRACELET,0.0
NECROBINDER,BOOMING_CONCH,0.0
NECROBINDER,BOWLER_HAT,1.0
NECROBINDER,TRI_BOOMERANG,1.0
NECROBINDER,JOSS_PAPER,0.5
NECROBINDER,GREMLIN_HORN,0.0
NECROBINDER,BOUND_PHYLACTERY,0.19
NECROBINDER,SMALL_CAPSULE,0.5
NECROBINDER,LEAFY_POULTICE,1.0
NECROBINDER,AMETHYST_AUBERGINE,0.67
NECROBINDER,BOOK_OF_FIVE_RINGS,0.0
NECROBINDER,NUNCHAKU,1.0
NECROBINDER,TEA_OF_DISCOURTESY,0.67
NECROBINDER,STRIKE_DUMMY,0.0
NECROBINDER,ARCANE_SCROLL,0.0
NECROBINDER,PEAR,1.0
NECROBINDER,NUTRITIOUS_OYSTER,0.67
NECROBINDER,HISTORY_COURSE,1.0
NECROBINDER,SILVER_CRUCIBLE,0.0
NECROBINDER,MEAL_TICKET,0.25
NECROBINDER,FUNERARY_MASK,1.0
NECROBINDER,MANGO,1.0
NECROBINDER,FAKE_BLOOD_VIAL,1.0
NECROBINDER,THE_COURIER,0.5
NECROBINDER,SAI,1.0
NECROBINDER,PANTOGRAPH,0.67
NECROBINDER,WHITE_STAR,0.0
NECROBINDER,ODDLY_SMOOTH_STONE,0.5
DEFECT,LASTING_CANDY,0.0
DEFECT,DRIFTWOOD,0.0
DEFECT,BLOOD_VIAL,0.33
DEFECT,GIRYA,0.0
DEFECT,REGAL_PILLOW,0.0
DEFECT,GAMBLING_CHIP,1.0
DEFECT,LANTERN,0.5
DEFECT,MINIATURE_TENT,0.0
DEFECT,FISHING_ROD,0.0
DEFECT,AKABEKO,0.0
DEFECT,BIIIG_HUG,0.0
DEFECT,EMPTY_CAGE,1.0
DEFECT,BAG_OF_PREPARATION,0.5
DEFECT,LETTER_OPENER,0.33
DEFECT,BRONZE_SCALES,0.0
DEFECT,FAKE_MANGO,1.0
DEFECT,FESTIVE_POPPER,1.0
DEFECT,SOZU,0.0
DEFECT,VENERABLE_TEA_SET,1.0
DEFECT,VEXING_PUZZLEBOX,0.0
DEFECT,MINIATURE_CANNON,1.0
DEFECT,PEN_NIB,0.0
DEFECT,LUCKY_FYSH,0.25
DEFECT,RIPPLE_BASIN,0.0
DEFECT,ART_OF_WAR,0.0
DEFECT,KUSARIGAMA,0.5
DEFECT,SWORD_OF_STONE,0.0
DEFECT,PERMAFROST,0.2
DEFECT,FRESNEL_LENS,0.25
DEFECT,EMBER_TEA,0.0
DEFECT,PETRIFIED_TOAD,1.0
DEFECT,BIG_MUSHROOM,1.0
DEFECT,PAELS_WING,0.0
DEFECT,CLOAK_CLASP,1.0
DEFECT,CANDELABRA,0.0
DEFECT,HORN_CLEAT,0.5
DEFECT,SPARKLING_ROUGE,0.0
DEFECT,PARRYING_SHIELD,0.0
DEFECT,GLITTER,0.5
DEFECT,GORGET,1.0
DEFECT,WAR_PAINT,0.25
DEFECT,CHOSEN_CHEESE,0.0
DEFECT,SEA_GLASS,0.0
DEFECT,RAINBOW_RING,0.0
DEFECT,RAZOR_TOOTH,1.0
DEFECT,STURDY_CLAMP,0.0
DEFECT,FAKE_LEES_WAFFLE,0.0
DEFECT,RED_MASK,0.4
DEFECT,BREAD,0.0
DEFECT,REPTILE_TRINKET,0.0
DEFECT,CENTENNIAL_PUZZLE,1.0
DEFECT,GAME_PIECE,0.0
DEFECT,GOLDEN_PEARL,0.0
DEFECT,KUNAI,1.0
DEFECT,STONE_HUMIDIFIER,0.0
DEFECT,BAG_OF_MARBLES,0.67
DEFECT,STRAWBERRY,0.0
DEFECT,WHETSTONE,0.4
DEFECT,BURNING_STICKS,1.0
DEFECT,WING_CHARM,0.0
DEFECT,SHURIKEN,1.0
DEFECT,POTION_BELT,0.0
DEFECT,GOLD_PLATED_CABLES,1.0
DEFECT,NEOWS_TORMENT,0.0
DEFECT,LEAD_PAPERWEIGHT,0.0
DEFECT,ORICHALCUM,0.5
DEFECT,MERCURY_HOURGLASS,0.75
DEFECT,DREAM_CATCHER,0.0
DEFECT,CRACKED_CORE,0.18
DEFECT,VAMBRACE,1.0
DEFECT,PLANISPHERE,0.5
DEFECT,TINY_MAILBOX,0.0
DEFECT,MEMBERSHIP_CARD,0.67
DEFECT,BLACK_STAR,1.0
DEFECT,UNCEASING_TOP,0.5
DEFECT,POLLINOUS_CORE,0.0
DEFECT,HAPPY_FLOWER,0.67
DEFECT,ORNAMENTAL_FAN,0.5
DEFECT,MYSTIC_LIGHTER,0.0
DEFECT,NEW_LEAF,0.2
DEFECT,PENDULUM,0.5
DEFECT,CAPTAINS_WHEEL,1.0
DEFECT,ICE_CREAM,1.0
DEFECT,FAKE_SNECKO_EYE,0.0
DEFECT,ETERNAL_FEATHER,0.0
DEFECT,STONE_CRACKER,0.5
DEFECT,FAKE_ANCHOR,1.0
DEFECT,SYMBIOTIC_VIRUS,0.33
DEFECT,JUZU_BRACELET,0.0
DEFECT,BOOMING_CONCH,0.5
DEFECT,BOWLER_HAT,0.0
DEFECT,JOSS_PAPER,1.0
DEFECT,GREMLIN_HORN,0.5
DEFECT,DARKSTONE_PERIAPT,1.0
DEFECT,SMALL_CAPSULE,0.0
DEFECT,ANCHOR,0.0
DEFECT,LEAFY_POULTICE,0.5
DEFECT,AMETHYST_AUBERGINE,0.0
DEFECT,BOOK_OF_FIVE_RINGS,0.0
DEFECT,THE_BOOT,1.0
DEFECT,RUNIC_CAPACITOR,1.0
DEFECT,TEA_OF_DISCOURTESY,0.0
DEFECT,STRIKE_DUMMY,1.0
DEFECT,PEAR,1.0
DEFECT,MUMMIFIED_HAND,1.0
DEFECT,VERY_HOT_COCOA,0.67
DEFECT,FAKE_HAPPY_FLOWER,0.5
DEFECT,SILVER_CRUCIBLE,0.0
DEFECT,MEAL_TICKET,0.25
DEFECT,DATA_DISK,0.5
DEFECT,FAKE_BLOOD_VIAL,0.0
DEFECT,SAI,1.0
DEFECT,PANTOGRAPH,0.67
DEFECT,EMOTION_CHIP,0.0
DEFECT,BRILLIANT_SCARF,1.0
DEFECT,FIDDLE,1.0
DEFECT,BEATING_REMNANT,1.0
DEFECT,ECTOPLASM,0.0
DEFECT,RADIANT_PEARL,0.0
DEFECT,ODDLY_SMOOTH_STONE,0.5
