run id,character,won,floor reached,death cause, act1, act2, act3
25,IRONCLAD,0,17,ENCOUNTER.CEREMONIAL_BEAST_BOSS,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
26,SILENT,1,50,Architect,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
27,REGENT,1,50,Architect,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
28,NECROBINDER,1,50,Architect,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
29,DEFECT,1,50,Architect,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
30,IRONCLAD,0,17,ENCOUNTER.WATERFALL_GIANT_BOSS,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
31,IRONCLAD,0,17,ENCOUNTER.THE_KIN_BOSS,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
32,IRONCLAD,0,7,ENCOUNTER.TERROR_EEL_ELITE,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
33,IRONCLAD,1,50,Architect,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
34,SILENT,0,11,ENCOUNTER.TERROR_EEL_ELITE,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
35,REGENT,1,50,Architect,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
36,NECROBINDER,1,50,Architect,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
37,DEFECT,1,50,Architect,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
38,IRONCLAD,0,11,ENCOUNTER.BYGONE_EFFIGY_ELITE,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
39,SILENT,0,13,ENCOUNTER.PHROG_PARASITE_ELITE,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
40,REGENT,0,9,ENCOUNTER.SLITHERING_STRANGLER_NORMAL,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
41,NECROBINDER,1,50,Architect,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
42,DEFECT,0,12,ENCOUNTER.PHANTASMAL_GARDENERS_ELITE,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
43,IRONCLAD,0,28,ENCOUNTER.DECIMILLIPEDE_ELITE,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
44,SILENT,0,48,ENCOUNTER.DOORMAKER_BOSS,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
45,REGENT,1,50,Architect,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
46,NECROBINDER,0,35,ENCOUNTER.KNOWLEDGE_DEMON_BOSS,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
47,DEFECT,1,50,Architect,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
48,IRONCLAD,0,25,ENCOUNTER.INFESTED_PRISMS_ELITE,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
49,SILENT,0,8,ENCOUNTER.HAUNTED_SHIP_NORMAL,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
50,REGENT,0,9,ENCOUNTER.SKULKING_COLONY_ELITE,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
51,NECROBINDER,0,22,ENCOUNTER.SLUMBERING_BEETLE_NORMAL,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
52,DEFECT,0,49,ENCOUNTER.QUEEN_BOSS,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
53,IRONCLAD,0,17,ENCOUNTER.CEREMONIAL_BEAST_BOSS,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
54,SILENT,0,11,ENCOUNTER.PUNCH_CONSTRUCT_NORMAL,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
55,REGENT,0,49,ENCOUNTER.TEST_SUBJECT_BOSS,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
56,NECROBINDER,0,8,ENCOUNTER.SEAPUNK_NORMAL,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
57,DEFECT,0,11,ENCOUNTER.PHANTASMAL_GARDENERS_ELITE,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
58,IRONCLAD,0,9,ENCOUNTER.TERROR_EEL_ELITE,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
59,SILENT,0,8,ENCOUNTER.PHROG_PARASITE_ELITE,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
60,REGENT,0,17,ENCOUNTER.CEREMONIAL_BEAST_BOSS,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
61,NECROBINDER,0,17,ENCOUNTER.WATERFALL_GIANT_BOSS,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
62,DEFECT,0,25,ENCOUNTER.DECIMILLIPEDE_ELITE,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
63,IRONCLAD,0,13,ENCOUNTER.BYRDONIS_ELITE,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
64,SILENT,0,7,ENCOUNTER.BYGONE_EFFIGY_ELITE,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
65,REGENT,0,33,ENCOUNTER.THE_INSATIABLE_BOSS,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
66,NECROBINDER,0,24,ENCOUNTER.OVICOPTER_NORMAL,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
67,DEFECT,0,8,ENCOUNTER.PHROG_PARASITE_ELITE,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
68,IRONCLAD,0,7,ENCOUNTER.PHROG_PARASITE_ELITE,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
69,SILENT,0,15,ENCOUNTER.SLIMES_NORMAL,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
70,REGENT,0,15,ENCOUNTER.SKULKING_COLONY_ELITE,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
71,NECROBINDER,0,7,ENCOUNTER.BYRDONIS_ELITE,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
72,DEFECT,0,25,ENCOUNTER.ENTOMANCER_ELITE,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
73,IRONCLAD,1,50,Architect,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
74,SILENT,0,17,ENCOUNTER.THE_KIN_BOSS,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
75,REGENT,0,33,ENCOUNTER.KAISER_CRAB_BOSS,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
76,NECROBINDER,1,50,Architect,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
77,DEFECT,0,28,ENCOUNTER.EXOSKELETONS_NORMAL,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
78,IRONCLAD,1,50,Architect,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
79,SILENT,0,6,ENCOUNTER.NIBBITS_NORMAL,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
80,REGENT,0,49,ENCOUNTER.TEST_SUBJECT_BOSS,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
81,NECROBINDER,0,12,ENCOUNTER.BYGONE_EFFIGY_ELITE,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
82,DEFECT,0,31,ENCOUNTER.THE_OBSCURA_NORMAL,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
83,IRONCLAD,0,49,ENCOUNTER.QUEEN_BOSS,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
84,SILENT,1,50,Architect,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
85,REGENT,1,50,Architect,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
86,NECROBINDER,0,5,ENCOUNTER.NIBBITS_NORMAL,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
87,DEFECT,0,33,ENCOUNTER.KAISER_CRAB_BOSS,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
88,IRONCLAD,0,15,ENCOUNTER.BYRDONIS_ELITE,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
89,SILENT,0,11,ENCOUNTER.BYGONE_EFFIGY_ELITE,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
90,REGENT,0,17,ENCOUNTER.CEREMONIAL_BEAST_BOSS,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
91,NECROBINDER,0,25,ENCOUNTER.DECIMILLIPEDE_ELITE,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
92,DEFECT,1,50,Architect,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
93,IRONCLAD,1,50,Architect,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
94,SILENT,1,50,Architect,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
95,REGENT,1,50,Architect,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
96,NECROBINDER,0,13,ENCOUNTER.SKULKING_COLONY_ELITE,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
97,DEFECT,0,29,ENCOUNTER.LOUSE_PROGENITOR_NORMAL,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
98,IRONCLAD,0,8,ENCOUNTER.BYGONE_EFFIGY_ELITE,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
99,SILENT,1,50,Architect,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
100,REGENT,0,17,ENCOUNTER.VANTOM_BOSS,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
101,NECROBINDER,0,23,ENCOUNTER.OVICOPTER_NORMAL,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
102,DEFECT,0,13,ENCOUNTER.CULTISTS_NORMAL,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
103,IRONCLAD,1,50,Architect,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
104,SILENT,0,31,ENCOUNTER.HUNTER_KILLER_NORMAL,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
105,REGENT,0,17,ENCOUNTER.VANTOM_BOSS,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
106,NECROBINDER,1,50,Architect,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
107,DEFECT,0,24,ENCOUNTER.ENTOMANCER_ELITE,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
108,IRONCLAD,1,50,Architect,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
109,SILENT,1,50,Architect,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
110,REGENT,0,33,ENCOUNTER.KNOWLEDGE_DEMON_BOSS,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
111,NECROBINDER,1,50,Architect,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
112,DEFECT,0,28,ENCOUNTER.INFESTED_PRISMS_ELITE,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
113,IRONCLAD,1,50,Architect,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
114,SILENT,0,51,ENCOUNTER.AEONGLASS_BOSS,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
115,REGENT,0,17,ENCOUNTER.WATERFALL_GIANT_BOSS,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
116,NECROBINDER,0,33,ENCOUNTER.THE_INSATIABLE_BOSS,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
